"Issue Type","Summary","Epic Name","Epic Link","Priority","Labels","Start Date","Due Date","Description","Acceptance Criteria"
"Epic","Milestone 2: Fleet Health & Reliability Fixes","Milestone 2: Fleet Health & Reliability Fixes","","Medium","milestone;reliability","2026-06-19","2026-06-22","Stabilization pass on fleet health evaluation and local tooling: fixed baseline health fallback edge cases, captured SSH stderr for permission issues, and made start-local.command robust across Python 3.10+ interpreters. Commits: c08a00d, 58da8b0, 367a350, 17c4eb6.",""
"Story","Fix fleet build health baseline evaluation edge case","","Milestone 2: Fleet Health & Reliability Fixes","High","bug;backend","","","build_fleet() and build_cluster() in gcanalyzer/fleet.py computed a health score from the trailing 24h metric window only; if a node had no rows in that window (e.g. after a quiet period) but did have a most-recent snapshot, health silently came back as unknown instead of falling back to the last known reading. Commit c08a00d.","- When the 24h window has no rows but a last-known snapshot exists, health falls back to a single-point window built from that last row
- Both build_fleet() and build_cluster() apply the same fallback consistently
- No regression for nodes with normal, populated 24h windows"
"Story","Robust Python 3.10+ interpreter selection in start-local.command","","Milestone 2: Fleet Health & Reliability Fixes","Medium","bug;tooling","","","start-local.command hardened its interpreter discovery so the app reliably launches with a supported Python (3.10+) across differing local machine setups instead of failing on an incompatible default python/python3. Commit 58da8b0.","- Script probes available Python interpreters and selects the first that satisfies the >=3.10 requirement
- Clear error message is shown if no compatible interpreter is found, rather than a raw traceback
- Works unmodified across the maintainer's tested local environments"
"Story","Capture & log SSH stderr to bubble up permission issues","","Milestone 2: Fleet Health & Reliability Fixes","Medium","bug;backend;collection","","","gcanalyzer/collector.py's SSH execution path now captures and logs stderr output from remote commands, so permission errors (e.g. denied log file access) are visible in job logs instead of failing silently. Commit 367a350.","- stderr from remote SSH commands is captured alongside stdout
- Non-empty stderr is surfaced in collection logs / job output
- Permission-denied and similar SSH failures are diagnosable from the UI/log output without server-side debugging"
"Story","Fix current_snapshot baseline health fallback edge case","","Milestone 2: Fleet Health & Reliability Fixes","High","bug;backend","","","gcanalyzer/store.py's current_snapshot() had the same 24h-window-empty-but-last-known-row-exists gap as fleet.py; fixed to reuse the last snapshot as a one-row window so instance detail pages don't show a blank health state. Commit 17c4eb6.","- current_snapshot() returns a populated health/metrics block when a last row exists even if the 24h window is empty
- Instance detail view no longer shows 'no data' immediately after a quiet period
- Consistent behavior with the fleet/cluster-level fallback shipped alongside c08a00d"
"Epic","Milestone 3: Cluster Management & App Lifecycle","Milestone 3: Cluster Management & App Lifecycle","","Medium","milestone;cluster-management","2026-06-22","2026-06-22","Introduced manage-app.sh for start/stop/status/restart/logs lifecycle control, consolidated app controls, fixed launcher bash array bug, and added demo cluster YAML stubs plus cluster save/collect UX with cancellable background jobs. Commits: 5e8df7e, 1c22ced, e30b0ce, 71af65e, 3bf6e1a.",""
"Story","manage-app.sh lifecycle script","","Milestone 3: Cluster Management & App Lifecycle","Medium","tooling;ops","","","Added a single manage-app.sh entry point supporting start/stop/status/restart/logs so the app can be operated consistently instead of ad hoc shell commands. Commit 5e8df7e.","- Supports start, stop, status, restart, and logs subcommands
- status accurately reflects whether the app process is running
- logs surfaces recent output for troubleshooting without manually locating log files"
"Story","Consolidate app controls with expanded test coverage","","Milestone 3: Cluster Management & App Lifecycle","Medium","tooling;testing","","","Refactored app.py/ingest.py/scheduler.py/topology.py alongside manage-app.sh/run.sh/start-local.command so all app lifecycle logic funnels through one consistent control path; added tests/test_control_script_static.py, tests/test_frontend_static.py, and expanded test_fleet.py/test_pipeline.py. Commit 1c22ced.","- run.sh and start-local.command delegate to manage-app.sh rather than duplicating logic
- Static assertions (test_control_script_static.py) catch regressions in the shell control script without executing it
- Frontend static checks (test_frontend_static.py) validate index.html structure
- Existing fleet/pipeline tests continue to pass after the refactor"
"Story","Fix empty bash array bug in app launcher","","Milestone 3: Cluster Management & App Lifecycle","Medium","bug;tooling","","","manage-app.sh referenced a bash array that could be empty under certain configurations, causing an error on some shells; guarded the array access and added a regression test. Commit e30b0ce.","- Launcher no longer errors when the relevant array is empty
- tests/test_control_script_static.py asserts the guarded pattern is present
- Verified on the shells the script targets"
"Story","Demo cluster YAML stubs for Cluster Management","","Milestone 3: Cluster Management & App Lifecycle","Low","config;demo","","","Added clusters/DEMO-KRAFT.yaml and clusters/DEMO-ZK.yaml so the Settings/Cluster Management UI lists a ready-made seeded demo fleet alongside real onboarded clusters, without requiring any SSH setup. Commit 71af65e.","- DEMO-KRAFT and DEMO-ZK appear in cluster listings out of the box
- Demo clusters require no live SSH connectivity to display seeded health/trend data
- Coexists cleanly with real production cluster configs"
"Story","Cluster save/collect UX and cancellable background jobs","","Milestone 3: Cluster Management & App Lifecycle","High","frontend;ux","","","frontend/index.html and gcanalyzer/app.py/ingest.py let admins save a cluster's YAML without immediately triggering a collection run, show a 'Collect now' action when a cluster is selected, and cancel pending or running ingest jobs with a confirmation step. Commit 3bf6e1a.","- Saving cluster config does not implicitly kick off a collection run
- 'Collect now' is available on-demand from the cluster view
- In-flight or queued jobs can be cancelled, with a confirmation prompt before cancelling
- Cancelled jobs are reflected correctly in the Jobs panel status"
"Epic","Milestone 4: Ingestion Pipeline & Job Concurrency","Milestone 4: Ingestion Pipeline & Job Concurrency","","High","milestone;ingestion","2026-06-22","2026-06-22","Built incremental ingest with job progress tracking, concurrency locks, parallel ingestion, tabbed logs modal, cluster reconcile logic, trend backfill from GC logs, onboarded cluster ID fixes, and demo data survival / Full GC parsing fixes. Commits: 3408e12, 1539168, 41f0eed, 2f686fc.",""
"Story","Fix onboarded cluster IDs, sidebar labels, and GC log trend backfill","","Milestone 4: Ingestion Pipeline & Job Concurrency","High","bug;backend","","","Corrected br-N/zk-N node ID mapping from onboarded YAML, surfaced node_id in the fleet tree sidebar, synced onboarded clusters into the DB on app startup, and bucketed parsed Kafka 2.8.1 unified GC logs into adaptive multi-point trend series instead of a single snapshot row. Commit 3408e12.","- Onboarded br-N/zk-N IDs map to the correct node/instance consistently between YAML and DB
- Sidebar displays the true node_id for each fleet member
- Clusters onboarded via YAML sync into the database automatically on startup with no manual re-collect required
- Trend charts show multiple adaptive time buckets from a single GC log file rather than one flat point"
"Story","Incremental ingest with stable instance IDs and orphan cleanup","","Milestone 4: Ingestion Pipeline & Job Concurrency","High","backend;ingestion","","","Reworked gcanalyzer/ingest.py/store.py so instance IDs remain stable across YAML edits and re-collections, and orphaned fleet/host rows (from renamed or removed nodes) are cleaned up automatically, preventing duplicate hosts after config changes. Part of commit 1539168.","- Editing cluster YAML and re-collecting does not create duplicate instance rows for the same logical node
- Removed/renamed nodes' stale DB rows are pruned automatically
- Regression covered by expanded tests/test_pipeline.py"
"Story","Job progress reporting and tunable alert thresholds via .env","","Milestone 4: Ingestion Pipeline & Job Concurrency","Medium","backend;ux;config","","","Collect jobs now report per-node progress as they run; alert thresholds became tunable via a new .env/.env.example and gcanalyzer/env.py, aligned with the analyzer's SLO targets; Settings simplified to a single 'Collect now' action. Part of commit 1539168.","- Job status includes per-node progress, not just an overall pending/running/done state
- Alert thresholds are read from environment configuration at startup (env.py), with .env.example documenting all supported keys
- Threshold values align with analyzer.py's SLO definitions with no drift between the two
- Settings UI simplified to 'Collect now' only, removing redundant controls"
"Story","Demo data survival, cluster cleanup, label fix, and Full GC parsing improvements","","Milestone 4: Ingestion Pipeline & Job Concurrency","Medium","bug;backend;frontend","","","Migrated legacy instance IDs during YAML sync so seeded demo metrics survive app restarts, fixed cluster delete to resolve name variants and prune orphaned DB rows, corrected node label splitting, improved Full GC pause detection, and clarified Full GC vs. long young/mixed pauses in the UI; added a compact cluster YAML example. Commit 41f0eed.","- Restarting the app after a YAML sync does not wipe previously seeded demo metric history
- Deleting a cluster removes all its name-variant DB rows, leaving no orphans
- Node labels split correctly on the intended delimiter with no truncated/garbled labels
- UI visually distinguishes true Full GC events from long young/mixed-generation pauses
- cluster.compact.example.yaml provides a minimal onboarding example"
"Story","Job concurrency locks, parallel ingestion, and tabbed logs modal","","Milestone 4: Ingestion Pipeline & Job Concurrency","High","backend;performance;frontend","","","Added a per-cluster running-job lock (RUNNING_CLUSTERS) to app.py to prevent overlapping collection runs on the same cluster, parallelized per-node analysis in ingest.py using a ThreadPoolExecutor (max 5 workers) with per-node log callbacks, and reworked the frontend Jobs modal into per-node tabs. Commit 2f686fc.","- A cluster cannot have two collection jobs running concurrently; a second trigger is rejected/queued while one is in flight
- Node-level GC log analysis runs concurrently (up to 5 at a time) instead of sequentially, reducing wall-clock collection time for multi-node clusters
- Per-node log output is tracked separately (node_logs keyed by node_id) and surfaced as tabs in the Jobs modal
- Sequential record-then-persist DB writes remain correctness-preserving despite parallel analysis"
"Epic","Milestone 5: Node-Level Analytics & Visualization Fixes","Milestone 5: Node-Level Analytics & Visualization Fixes","","Low","milestone;analytics","2026-06-22","2026-06-22","Simplified demo fleet to two clusters, added node deep-dive analytics, and fixed line chart rendering for single-data-point series. Commits: 0f3c6c7, 45d96d5.",""
"Story","Simplify demo fleet to two clusters (DEMO-KRAFT / DEMO-ZK)","","Milestone 5: Node-Level Analytics & Visualization Fixes","Low","config;demo","","","Replaced the prior multi-cluster demo set (BLUE-PROD, ONPREM-PROD, demo, demo1, test-demo-cluster) with just DEMO-KRAFT and DEMO-ZK, and reseeded incidents for a realistic 20-JVM topology, reducing demo clutter. Part of commit 0f3c6c7.","- Only DEMO-KRAFT and DEMO-ZK ship as demo clusters after this change
- Prior demo-only YAML files are removed from clusters/
- Reseeded incident/history data reflects a coherent 20-JVM topology
- tests/test_fleet.py updated to match the new demo topology"
"Story","Node deep-dive analytics and static export enrichment","","Milestone 5: Node-Level Analytics & Visualization Fixes","Medium","frontend;analytics","","","Enriched the instance dashboard (frontend/index.html, cowork-dashboard.html, dashboard-preview.html) with gceasy-style deep-dive panels and clearer metric cards, and extended export_static.py and gcanalyzer/topology.py so static exports carry the same depth of detail as the live app. Part of commit 0f3c6c7.","- Instance view shows gceasy-style deep-dive panels (detailed heap/pause/throughput breakdowns) beyond the basic trend charts
- Metric cards are visually clearer with legible labels, units, and thresholds
- Exported static HTML snapshots include the enriched deep-dive panels, not just the summary view
- topology.py changes support the additional detail without breaking existing fleet/cluster builders"
"Story","Fix single-data-point line chart rendering","","Milestone 5: Node-Level Analytics & Visualization Fixes","Low","bug;frontend","","","Line charts (heap, utilization, pause, Full GC/time-in-GC) in frontend/index.html rendered no visible marker when a trend series had exactly one data point, making single-point trends appear blank; fixed by setting a non-zero point radius specifically for single-point series. Commit 45d96d5.","- A trend series with exactly one data point renders a visible dot on all affected charts (heap, utilization, pause, full-GC)
- Multi-point series continue to render without dots, unchanged visual style
- No regression to chart performance or existing multi-point rendering"
"Epic","Milestone 6: ML Tech Preview Dashboard","Milestone 6: ML Tech Preview Dashboard","","Medium","milestone;ml-preview","2026-06-23","2026-06-23","Added the ML tech preview dashboard surfacing predictive/experimental analytics views. Commit: 281bce9.",""
"Story","ML tech preview dashboard panel","","Milestone 6: ML Tech Preview Dashboard","Medium","frontend;ml-preview","","","Added an opt-in 'ML Preview' entry point (button + dedicated view) in frontend/index.html surfacing adaptive-baseline and anomaly-scoring concepts (instances observed, active rule alerts, critical/watch node counts) as a technology preview, without altering the existing rule-based health logic. Commit 281bce9.","- ML Preview button is present but hidden until explicitly enabled/available, avoiding confusion for opted-out users
- Preview view summarizes current fleet snapshot (instance counts, alert counts, critical/watch tallies) framed as adaptive/forecast-style signals
- Enabling or viewing the preview does not alter existing rule-based health scoring or alerts
- Entry point is reachable from the fleet overview via a labeled 'Technology Preview' callout"
"Story","Test coverage and docs for ML preview integration","","Milestone 6: ML Tech Preview Dashboard","Low","testing;docs","","","Extended tests/test_control_script_static.py, tests/test_fleet.py, and tests/test_frontend_static.py plus tests/test_pipeline.py to cover the new ML preview UI hooks and ensure it doesn't regress existing fleet/pipeline behavior, with README and architecture guide updates documenting the preview. Commit 281bce9.","- Static frontend tests assert the ML Preview button/view markup is present
- Fleet/pipeline tests confirm existing health/alert behavior is unchanged by the addition
- README and architecture_and_user_guide.html document the ML Tech Preview as an explicit preview/experimental feature"
"Epic","Milestone 7: SAR Host-Metrics Ingest & GC Correlation","Milestone 7: SAR Host-Metrics Ingest & GC Correlation","","High","milestone;sar-metrics","2026-07-06","2026-07-06","Implemented SAR (System Activity Report) host-metrics ingestion, correlated host metrics with GC events, and added a scaling advisor. Commit: 97724c1.",""
"Story","SSH-based SAR metrics collection (sar_ingest.py)","","Milestone 7: SAR Host-Metrics Ingest & GC Correlation","High","backend;collection;sar","","","Added gcanalyzer/sar_ingest.py to collect sar(1) server-health metrics (CPU, memory, disk I/O, network) over SSH from each host, alongside the existing GC log collection, reusing the collector's SSH plumbing. Part of commit 97724c1.","- sar output is retrieved per host over the same SSH connection path used for GC logs
- Collection failures are logged with enough detail to diagnose, consistent with the stderr-capture fix in Milestone 2
- Sample SAR fixtures (samples/broker-1-sar.txt) support local testing without live hosts"
"Story","SAR output parsing into time-series (sar_parser.py)","","Milestone 7: SAR Host-Metrics Ingest & GC Correlation","High","backend;parsing;sar","","","gcanalyzer/sar_parser.py parses raw sar(1) text output into structured host-metric time-series (CPU utilization, memory pressure, disk/network I/O) usable by the analyzer and correlation engine. Part of commit 97724c1.","- Parses standard sar(1) sections (CPU, memory, I/O, network) into typed time-series records
- Handles multi-section sar output from a single collection run
- Covered by tests/test_sar.py against sample fixtures"
"Story","Host-pressure analysis and SAR trend scoring (sar_analyzer.py)","","Milestone 7: SAR Host-Metrics Ingest & GC Correlation","Medium","backend;analytics;sar","","","gcanalyzer/sar_analyzer.py aggregates parsed SAR time-series into host-level pressure signals (e.g. sustained high CPU, memory pressure) analogous to the GC analyzer's health scoring. Part of commit 97724c1.","- Produces host-level pressure/health signals from SAR time-series comparable in shape to existing GC health scoring
- Thresholds are configurable, consistent with the tunable alerting approach from Milestone 4
- Covered by tests/test_sar.py"
"Story","GC-to-host metric correlation engine (correlate.py)","","Milestone 7: SAR Host-Metrics Ingest & GC Correlation","High","backend;analytics","","","gcanalyzer/correlate.py joins per-instance GC events with host-level SAR metrics over the same time window, so GC pauses can be attributed to (or ruled out from) host resource pressure. Part of commit 97724c1.","- Correlates GC pause events with concurrent host CPU/memory/IO pressure per instance
- Returns a structured result identifying likely GC-vs-host-pressure causality
- Covered by dedicated correlation tests"
"Story","Scaling advisor: vertical vs. horizontal recommendations (scaling_advisor.py)","","Milestone 7: SAR Host-Metrics Ingest & GC Correlation","High","backend;advisor","","","gcanalyzer/scaling_advisor.py uses correlated GC and host-pressure data to recommend whether a cluster should scale vertically (bigger nodes) or horizontally (more nodes), based on observed workload patterns. Part of commit 97724c1.","- Produces a vertical-vs-horizontal recommendation per cluster with a stated rationale referencing observed metrics
- Recommendation logic is deterministic and testable given fixed input metrics
- Covered by scaling advisor tests"
"Story","ML-based anomaly and trend insights (ml_insights.py)","","Milestone 7: SAR Host-Metrics Ingest & GC Correlation","Medium","backend;ml","","","gcanalyzer/ml_insights.py generates anomaly/trend signals, building on the Milestone 6 ML preview concept, for display on the dashboard, using both GC and SAR host metrics as input. Part of commit 97724c1.","- Surfaces anomaly/trend signals derived from combined GC + SAR metrics
- Output is consumable by the dashboard without requiring dashboard-side statistical logic
- Does not alter existing rule-based alerting; purely additive"
"Story","Dashboard panels, persistence wiring, samples & docs for SAR/correlation/scaling","","Milestone 7: SAR Host-Metrics Ingest & GC Correlation","Medium","frontend;docs;fixtures","","","Wired SAR/correlation/scaling data through store.py/collector.py/scheduler.py/config.py/app.py, added HostMetrics/SarTrend/Correlation/ScalingAdvisor web panels and supporting TypeScript types, shipped SAR sample/seed data, and documented the feature in README, the architecture guide, and a new AGENTS.md. Part of commit 97724c1.","- New SAR/correlation/scaling data is persisted and queryable through the existing store layer
- Web dashboard exposes HostMetrics, SAR trend, correlation, and scaling-advisor panels backed by typed API responses
- Sample and seed data let the full SAR feature set be demoed without live SSH access
- README, architecture_and_user_guide.html, and AGENTS.md document the new capability end-to-end"
"Epic","Milestone 8: Capacity Forecasting & Host Health View (Current)","Milestone 8: Capacity Forecasting & Host Health View (Current)","","High","milestone;forecasting;current","2026-07-06","2026-07-06","Added the capacity forecasting engine (gcanalyzer/forecast.py) with seed data and tests, a per-host health view (web/app/host/[id]), Capacity Outlook and Forecast panels, host-level charts, and a SAR upload UI. Commit: d4f2058 (current HEAD, pending push to origin).",""
"Story","Capacity forecasting engine (forecast.py)","","Milestone 8: Capacity Forecasting & Host Health View (Current)","High","backend;forecasting","","","Added gcanalyzer/forecast.py implementing a GC/host capacity forecasting model that projects future resource pressure (heap, host CPU/memory) from historical trend data, with accompanying seed data and a dedicated test suite (tests/test_forecast.py, 344 lines). Part of commit d4f2058.","- Produces a forward-looking capacity projection (e.g. days-to-threshold) from historical heap/host metric trends
- Forecast logic is unit-tested against representative seeded time-series (tests/test_forecast.py)
- seed/seed_forecast_demo.py provides demo-ready forecast history without live collection"
"Story","Per-host health detail view","","Milestone 8: Capacity Forecasting & Host Health View (Current)","High","frontend;web","","","Added a new web/app/host/[id]/page.tsx route with HostHealthView.tsx and HostFullCharts.tsx components giving a dedicated per-host page (distinct from per-instance JVM view) showing host-level SAR health and full trend charts. Part of commit d4f2058.","- Navigating to a host by ID renders a dedicated host health page independent of the JVM instance view
- Host health view surfaces current SAR-derived health status for the host
- Full trend charts render host-level CPU/memory/IO/network history"
"Story","Capacity Outlook and Forecast dashboard panels","","Milestone 8: Capacity Forecasting & Host Health View (Current)","Medium","frontend;forecasting","","","Added CapacityOutlookPanel.tsx and ForecastPanel.tsx to surface the new forecast.py projections (e.g. time-to-threshold, trend direction) directly in the web dashboard. Part of commit d4f2058.","- Capacity Outlook panel summarizes forecasted risk/timeline at a glance for a cluster or host
- Forecast panel shows the underlying projected trend line alongside historical data
- Panels degrade gracefully with a clear empty/insufficient-data state when there isn't enough history to forecast"
"Story","SAR log upload UI","","Milestone 8: Capacity Forecasting & Host Health View (Current)","Medium","frontend;ux","","","Added SarUploadPanel.tsx allowing a user to manually upload a sar(1) output file through the web UI for hosts where live SSH collection isn't available, feeding the same sar_parser.py/sar_analyzer.py pipeline as live collection. Part of commit d4f2058.","- User can upload a raw sar output file from the browser and have it parsed into the same host-metric pipeline as SSH-collected data
- Invalid or unsupported file content produces a clear error rather than a silent failure
- Uploaded data is reflected in the host health view and forecast panels after processing"
"Story","Backend extensions for host-level SAR/forecast data flow","","Milestone 8: Capacity Forecasting & Host Health View (Current)","High","backend;api","","","Extended gcanalyzer/fleet.py, store.py, sar_ingest.py, sar_parser.py, sar_analyzer.py, and app.py to thread host-level identifiers and forecast data end-to-end from collection through the API, supporting the new per-host view and forecast panels. Part of commit d4f2058.","- Fleet/store layer exposes host-level identifiers distinct from, but linked to, JVM instance IDs
- API surfaces the data required by HostHealthView, CapacityOutlookPanel, ForecastPanel, and SarUploadPanel
- Existing GC-only endpoints/behavior remain backward compatible
- Covered by expanded tests/test_fleet.py"
"Story","Expanded sample SAR fixtures and forecast demo seed data","","Milestone 8: Capacity Forecasting & Host Health View (Current)","Low","testing;fixtures","","","Added samples/broker-1-sar.json and samples/broker-1-sar.txt (real-shaped SAR fixture data), samples/generate_sar_samples.py, and seed/seed_forecast_demo.py / updated seed_sar_history.py so the full forecasting + host health feature set can be demoed end-to-end without live infrastructure. Part of commit d4f2058.","- Sample fixtures cover realistic SAR output shapes sufficient to exercise the parser, analyzer, correlation, and forecast engine
- generate_sar_samples.py can regenerate/extend sample fixtures programmatically
- seed_forecast_demo.py seeds enough historical data for the forecast panels to render meaningful projections out of the box"
