Linux 5.15.0-kafka-broker (broker-1) 	06/08/2026 	_x86_64_	(8 CPU)

       00:00:00  CPU     %user     %nice   %system   %iowait    %steal     %idle
       12:30:00 all      7.11      0.00      1.79      0.92      0.00     90.18
       12:40:00 all      6.69      0.00      2.08      0.96      0.00     90.27
       12:50:00 all      8.28      0.00      1.68      0.72      0.00     89.32
       13:00:00 all      7.28      0.00      2.41      1.39      0.00     88.92
       13:10:00 all      8.90      0.00      2.03      0.88      0.00     88.19
       13:20:00 all      9.56      0.00      2.55      2.30      0.00     85.59
       13:30:00 all     14.24      0.00      2.77      4.49      0.00     78.50
       13:40:00 all     16.47      0.00      3.88      5.77      0.00     73.88
       13:50:00 all     22.48      0.00      4.75      7.92      0.00     64.85
       14:00:00 all     24.93      0.00      4.58      9.81      0.00     60.68
       14:10:00 all     29.27      0.00      6.00     12.47      0.00     52.26
       14:20:00 all     31.81      0.00      6.63     14.49      0.00     47.07
       14:30:00 all     36.84      0.00      6.76     16.17      0.00     40.23
       14:40:00 all     42.04      0.00      7.31     17.59      0.00     33.06
       14:50:00 all     39.83      0.00      7.32     17.73      0.00     35.12
       15:00:00 all     37.97      0.00      6.89     16.32      0.00     38.82
       15:10:00 all     33.76      0.00      5.85     14.11      0.00     46.28
       15:20:00 all     30.36      0.00      5.33     12.11      0.00     52.20
       15:30:00 all     26.96      0.00      5.22     10.02      0.00     57.80
       15:40:00 all     21.84      0.00      4.16      8.20      0.00     65.80
       15:50:00 all     17.85      0.00      3.73      6.06      0.00     72.36
       16:00:00 all     13.20      0.00      2.74      4.40      0.00     79.66
       16:10:00 all     11.41      0.00      2.49      2.44      0.00     83.66
       16:20:00 all      7.10      0.00      1.64      0.97      0.00     90.29
       16:30:00 all      8.43      0.00      2.17      0.54      0.00     88.86
       16:40:00 all      8.77      0.00      1.99      1.25      0.00     87.99
       16:50:00 all      8.08      0.00      1.93      1.03      0.00     88.96
       17:00:00 all      8.76      0.00      2.09      0.80      0.00     88.35
       17:10:00 all      8.08      0.00      1.81      0.74      0.00     89.37
       17:20:00 all      7.76      0.00      1.72      1.31      0.00     89.21
       17:30:00 all      9.35      0.00      1.74      0.50      0.00     88.41
       17:40:00 all      8.26      0.00      1.53      0.55      0.00     89.66
       17:50:00 all      7.39      0.00      2.40      1.42      0.00     88.79
       18:00:00 all      7.11      0.00      1.69      1.13      0.00     90.07
       18:10:00 all      8.64      0.00      2.20      0.63      0.00     88.53
       18:20:00 all      7.04      0.00      2.16      0.74      0.00     90.06
       18:30:00 all      9.28      0.00      1.78      1.17      0.00     87.77
       18:40:00 all      8.30      0.00      1.75      0.78      0.00     89.17
       18:50:00 all      7.06      0.00      2.49      1.40      0.00     89.05
       19:00:00 all      8.17      0.00      1.86      1.14      0.00     88.83
       19:10:00 all      9.35      0.00      2.28      0.67      0.00     87.70
       19:20:00 all      7.21      0.00      1.72      0.99      0.00     90.08
       19:30:00 all      7.04      0.00      1.52      0.65      0.00     90.79
       19:40:00 all      8.21      0.00      2.29      1.04      0.00     88.46
       19:50:00 all      7.29      0.00      1.59      1.09      0.00     90.03
       20:00:00 all      6.68      0.00      1.86      0.91      0.00     90.55
       20:10:00 all      7.87      0.00      1.54      1.24      0.00     89.35
       20:20:00 all      6.60      0.00      2.26      1.50      0.00     89.64
       20:30:00 all      7.59      0.00      2.48      0.84      0.00     89.09
       20:40:00 all      9.09      0.00      2.39      1.09      0.00     87.43
       20:50:00 all      7.05      0.00      1.66      1.05      0.00     90.24
       21:00:00 all      9.09      0.00      1.88      0.70      0.00     88.33
       21:10:00 all      7.68      0.00      2.22      1.42      0.00     88.68
       21:20:00 all      9.22      0.00      1.82      0.52      0.00     88.44
       21:30:00 all      7.68      0.00      1.54      0.74      0.00     90.04
       21:40:00 all      8.62      0.00      2.23      0.76      0.00     88.39
       21:50:00 all      9.10      0.00      1.79      0.73      0.00     88.38
       22:00:00 all      9.43      0.00      2.17      0.80      0.00     87.60
       22:10:00 all      8.40      0.00      1.93      0.59      0.00     89.08
       22:20:00 all      7.71      0.00      1.67      0.98      0.00     89.64
       22:30:00 all      8.60      0.00      2.20      1.05      0.00     88.15
       22:40:00 all      8.26      0.00      1.83      0.97      0.00     88.94
       22:50:00 all      7.06      0.00      2.12      0.97      0.00     89.85
       23:00:00 all      7.73      0.00      1.78      0.92      0.00     89.57
       23:10:00 all      7.43      0.00      2.48      0.86      0.00     89.23
       23:20:00 all      7.68      0.00      1.99      0.74      0.00     89.59
       23:30:00 all      7.54      0.00      1.81      1.39      0.00     89.26
       23:40:00 all      7.97      0.00      1.87      1.06      0.00     89.10
       23:50:00 all      8.04      0.00      1.56      0.63      0.00     89.77

       00:00:00    proc/s   cswch/s
       00:00:00      0.30     400.0
       00:10:00      0.30     400.0
       00:20:00      0.30     400.0
       00:30:00      0.30     400.0
       00:40:00      0.30     400.0
       00:50:00      0.30     400.0
       01:00:00      0.30     400.0
       01:10:00      0.30     400.0
       01:20:00      0.30     400.0
       01:30:00      0.30     400.0
       01:40:00      0.30     400.0
       01:50:00      0.30     400.0
       02:00:00      0.30     400.0
       02:10:00      0.30     400.0
       02:20:00      0.30     400.0
       02:30:00      0.30     400.0
       02:40:00      0.30     400.0
       02:50:00      0.30     400.0
       03:00:00      0.30     400.0
       03:10:00      0.30     400.0
       03:20:00      0.30     400.0
       03:30:00      0.30     400.0
       03:40:00      0.30     400.0
       03:50:00      0.30     400.0
       04:00:00      0.30     400.0
       04:10:00      0.30     400.0
       04:20:00      0.30     400.0
       04:30:00      0.30     400.0
       04:40:00      0.30     400.0
       04:50:00      0.30     400.0
       05:00:00      0.30     400.0
       05:10:00      0.30     400.0
       05:20:00      0.30     400.0
       05:30:00      0.30     400.0
       05:40:00      0.30     400.0
       05:50:00      0.30     400.0
       06:00:00      0.30     400.0
       06:10:00      0.30     400.0
       06:20:00      0.30     400.0
       06:30:00      0.30     400.0
       06:40:00      0.30     400.0
       06:50:00      0.30     400.0
       07:00:00      0.30     400.0
       07:10:00      0.30     400.0
       07:20:00      0.30     400.0
       07:30:00      0.30     400.0
       07:40:00      0.30     400.0
       07:50:00      0.30     400.0
       08:00:00      0.30     400.0
       08:10:00      0.30     400.0
       08:20:00      0.30     400.0
       08:30:00      0.30     400.0
       08:40:00      0.30     400.0
       08:50:00      0.30     400.0
       09:00:00      0.30     400.0
       09:10:00      0.30     400.0
       09:20:00      0.30     400.0
       09:30:00      0.30     400.0
       09:40:00      0.30     400.0
       09:50:00      0.30     400.0
       10:00:00      0.30     400.0
       10:10:00      0.30     400.0
       10:20:00      0.30     400.0
       10:30:00      0.30     400.0
       10:40:00      0.30     400.0
       10:50:00      0.30     400.0
       11:00:00      0.30     400.0
       11:10:00      0.30     400.0
       11:20:00      0.30     400.0
       11:30:00      0.30     400.0
       11:40:00      0.30     400.0
       11:50:00      0.30     400.0
       12:00:00      0.30     400.0
       12:10:00      0.30     400.0
       12:20:00      0.30     400.0
       12:30:00      0.30     400.0
       12:40:00      0.30     400.0
       12:50:00      0.30     400.0
       13:00:00      0.30     400.0
       13:10:00      0.30     400.0
       13:20:00      0.32     450.0
       13:30:00      0.37     550.0
       13:40:00      0.41     650.0
       13:50:00      0.46     750.0
       14:00:00      0.50     850.0
       14:10:00      0.54     950.0
       14:20:00      0.59    1050.0
       14:30:00      0.63    1150.0
       14:40:00      0.68    1250.0
       14:50:00      0.68    1250.0
       15:00:00      0.63    1150.0
       15:10:00      0.59    1050.0
       15:20:00      0.54     950.0
       15:30:00      0.50     850.0
       15:40:00      0.46     750.0
       15:50:00      0.41     650.0
       16:00:00      0.37     550.0
       16:10:00      0.32     450.0
       16:20:00      0.30     400.0
       16:30:00      0.30     400.0
       16:40:00      0.30     400.0
       16:50:00      0.30     400.0
       17:00:00      0.30     400.0
       17:10:00      0.30     400.0
       17:20:00      0.30     400.0
       17:30:00      0.30     400.0
       17:40:00      0.30     400.0
       17:50:00      0.30     400.0
       18:00:00      0.30     400.0
       18:10:00      0.30     400.0
       18:20:00      0.30     400.0
       18:30:00      0.30     400.0
       18:40:00      0.30     400.0
       18:50:00      0.30     400.0
       19:00:00      0.30     400.0
       19:10:00      0.30     400.0
       19:20:00      0.30     400.0
       19:30:00      0.30     400.0
       19:40:00      0.30     400.0
       19:50:00      0.30     400.0
       20:00:00      0.30     400.0
       20:10:00      0.30     400.0
       20:20:00      0.30     400.0
       20:30:00      0.30     400.0
       20:40:00      0.30     400.0
       20:50:00      0.30     400.0
       21:00:00      0.30     400.0
       21:10:00      0.30     400.0
       21:20:00      0.30     400.0
       21:30:00      0.30     400.0
       21:40:00      0.30     400.0
       21:50:00      0.30     400.0
       22:00:00      0.30     400.0
       22:10:00      0.30     400.0
       22:20:00      0.30     400.0
       22:30:00      0.30     400.0
       22:40:00      0.30     400.0
       22:50:00      0.30     400.0
       23:00:00      0.30     400.0
       23:10:00      0.30     400.0
       23:20:00      0.30     400.0
       23:30:00      0.30     400.0
       23:40:00      0.30     400.0
       23:50:00      0.30     400.0

       00:00:00   runq-sz  plist-sz   ldavg-1   ldavg-5  ldavg-15   blocked
       00:00:00         0       215      1.18      1.06      0.94         0
       00:10:00         0       215      1.07      0.96      0.86         0
       00:20:00         0       215      1.21      1.09      0.97         0
       00:30:00         0       215      1.12      1.01      0.90         0
       00:40:00         0       215      1.21      1.09      0.97         0
       00:50:00         0       215      0.86      0.77      0.69         0
       01:00:00         0       215      0.81      0.73      0.65         0
       01:10:00         0       215      0.86      0.77      0.69         0
       01:20:00         0       215      1.29      1.16      1.03         0
       01:30:00         0       215      1.06      0.95      0.85         0
       01:40:00         0       215      1.19      1.07      0.95         0
       01:50:00         0       215      0.76      0.68      0.61         0
       02:00:00         0       215      1.13      1.02      0.90         0
       02:10:00         0       215      0.86      0.77      0.69         0
       02:20:00         0       215      1.09      0.98      0.87         0
       02:30:00         0       215      1.08      0.97      0.86         0
       02:40:00         0       215      1.12      1.01      0.90         0
       02:50:00         0       215      1.04      0.94      0.83         0
       03:00:00         0       215      0.93      0.84      0.74         0
       03:10:00         0       215      0.84      0.76      0.67         0
       03:20:00         0       215      0.80      0.72      0.64         0
       03:30:00         0       215      1.25      1.12      1.00         0
       03:40:00         0       215      1.27      1.14      1.02         0
       03:50:00         0       215      1.20      1.08      0.96         0
       04:00:00         0       215      1.17      1.05      0.94         0
       04:10:00         0       215      0.97      0.87      0.78         0
       04:20:00         0       215      0.98      0.88      0.78         0
       04:30:00         0       215      1.18      1.06      0.94         0
       04:40:00         0       215      1.04      0.94      0.83         0
       04:50:00         0       215      1.13      1.02      0.90         0
       05:00:00         0       215      0.91      0.82      0.73         0
       05:10:00         0       215      0.80      0.72      0.64         0
       05:20:00         0       215      1.00      0.90      0.80         0
       05:30:00         0       215      1.04      0.94      0.83         0
       05:40:00         0       215      0.82      0.74      0.66         0
       05:50:00         0       215      0.99      0.89      0.79         0
       06:00:00         0       215      0.96      0.86      0.77         0
       06:10:00         0       215      0.71      0.64      0.57         0
       06:20:00         0       215      1.01      0.91      0.81         0
       06:30:00         0       215      1.08      0.97      0.86         0
       06:40:00         0       215      0.89      0.80      0.71         0
       06:50:00         0       215      0.76      0.68      0.61         0
       07:00:00         0       215      1.25      1.12      1.00         0
       07:10:00         0       215      0.72      0.65      0.58         0
       07:20:00         0       215      0.76      0.68      0.61         0
       07:30:00         0       215      0.71      0.64      0.57         0
       07:40:00         0       215      0.71      0.64      0.57         0
       07:50:00         0       215      1.18      1.06      0.94         0
       08:00:00         0       215      1.16      1.04      0.93         0
       08:10:00         0       215      1.07      0.96      0.86         0
       08:20:00         0       215      1.09      0.98      0.87         0
       08:30:00         0       215      0.82      0.74      0.66         0
       08:40:00         0       215      1.08      0.97      0.86         0
       08:50:00         0       215      1.00      0.90      0.80         0
       09:00:00         0       215      1.04      0.94      0.83         0
       09:10:00         0       215      1.24      1.12      0.99         0
       09:20:00         0       215      0.85      0.77      0.68         0
       09:30:00         0       215      0.97      0.87      0.78         0
       09:40:00         0       215      0.95      0.85      0.76         0
       09:50:00         0       215      1.07      0.96      0.86         0
       10:00:00         0       215      1.29      1.16      1.03         0
       10:10:00         0       215      0.74      0.67      0.59         0
       10:20:00         0       215      1.20      1.08      0.96         0
       10:30:00         0       215      0.92      0.83      0.74         0
       10:40:00         0       215      1.23      1.11      0.98         0
       10:50:00         0       215      1.10      0.99      0.88         0
       11:00:00         0       215      0.77      0.69      0.62         0
       11:10:00         0       215      0.94      0.85      0.75         0
       11:20:00         0       215      1.04      0.94      0.83         0
       11:30:00         0       215      1.01      0.91      0.81         0
       11:40:00         0       215      0.75      0.68      0.60         0
       11:50:00         0       215      1.16      1.04      0.93         0
       12:00:00         0       215      1.12      1.01      0.90         0
       12:10:00         0       215      1.08      0.97      0.86         0
       12:20:00         0       215      0.80      0.72      0.64         0
       12:30:00         0       215      0.81      0.73      0.65         0
       12:40:00         0       215      1.13      1.02      0.90         0
       12:50:00         0       215      0.99      0.89      0.79         0
       13:00:00         0       215      1.27      1.14      1.02         0
       13:10:00         0       215      0.98      0.88      0.78         0
       13:20:00         0       215      1.29      1.16      1.03         0
       13:30:00         0       216      2.03      1.83      1.62         0
       13:40:00         0       217      2.27      2.04      1.82         0
       13:50:00         1       218      3.14      2.83      2.51         0
       14:00:00         1       220      3.44      3.10      2.75         1
       14:10:00         1       221      4.03      3.63      3.22         1
       14:20:00         2       222      4.51      4.06      3.61         1
       14:30:00         2       223      5.07      4.56      4.06         1
       14:40:00         2       224      5.78      5.20      4.62         1
       14:50:00         2       224      5.81      5.23      4.65         1
       15:00:00         2       223      5.34      4.81      4.27         1
       15:10:00         2       222      4.78      4.30      3.82         1
       15:20:00         1       221      4.18      3.76      3.34         1
       15:30:00         1       220      3.35      3.02      2.68         1
       15:40:00         1       218      3.19      2.87      2.55         0
       15:50:00         0       217      2.58      2.32      2.06         0
       16:00:00         0       216      1.64      1.48      1.31         0
       16:10:00         0       215      0.99      0.89      0.79         0
       16:20:00         0       215      0.90      0.81      0.72         0
       16:30:00         0       215      1.11      1.00      0.89         0
       16:40:00         0       215      1.24      1.12      0.99         0
       16:50:00         0       215      1.06      0.95      0.85         0
       17:00:00         0       215      1.12      1.01      0.90         0
       17:10:00         0       215      1.22      1.10      0.98         0
       17:20:00         0       215      1.02      0.92      0.82         0
       17:30:00         0       215      0.91      0.82      0.73         0
       17:40:00         0       215      0.82      0.74      0.66         0
       17:50:00         0       215      1.30      1.17      1.04         0
       18:00:00         0       215      1.22      1.10      0.98         0
       18:10:00         0       215      0.82      0.74      0.66         0
       18:20:00         0       215      0.88      0.79      0.70         0
       18:30:00         0       215      0.73      0.66      0.58         0
       18:40:00         0       215      1.03      0.93      0.82         0
       18:50:00         0       215      0.81      0.73      0.65         0
       19:00:00         0       215      1.01      0.91      0.81         0
       19:10:00         0       215      1.17      1.05      0.94         0
       19:20:00         0       215      1.22      1.10      0.98         0
       19:30:00         0       215      1.24      1.12      0.99         0
       19:40:00         0       215      1.02      0.92      0.82         0
       19:50:00         0       215      1.17      1.05      0.94         0
       20:00:00         0       215      0.79      0.71      0.63         0
       20:10:00         0       215      0.75      0.68      0.60         0
       20:20:00         0       215      1.26      1.13      1.01         0
       20:30:00         0       215      1.12      1.01      0.90         0
       20:40:00         0       215      0.91      0.82      0.73         0
       20:50:00         0       215      1.11      1.00      0.89         0
       21:00:00         0       215      0.86      0.77      0.69         0
       21:10:00         0       215      1.13      1.02      0.90         0
       21:20:00         0       215      0.73      0.66      0.58         0
       21:30:00         0       215      0.78      0.70      0.62         0
       21:40:00         0       215      0.93      0.84      0.74         0
       21:50:00         0       215      1.19      1.07      0.95         0
       22:00:00         0       215      0.84      0.76      0.67         0
       22:10:00         0       215      0.80      0.72      0.64         0
       22:20:00         0       215      1.05      0.95      0.84         0
       22:30:00         0       215      1.00      0.90      0.80         0
       22:40:00         0       215      1.10      0.99      0.88         0
       22:50:00         0       215      1.07      0.96      0.86         0
       23:00:00         0       215      1.00      0.90      0.80         0
       23:10:00         0       215      1.03      0.93      0.82         0
       23:20:00         0       215      0.90      0.81      0.72         0
       23:30:00         0       215      1.07      0.96      0.86         0
       23:40:00         0       215      0.81      0.73      0.65         0
       23:50:00         0       215      0.99      0.89      0.79         0

       00:00:00 kbmemfree   kbavail kbmemused  %memused kbbuffers  kbcached  kbcommit   %commit
       00:00:00    870840   5451400   4388800     54.86    120000   2500000   5500000     60.00
       00:10:00    862560   5437600   4499200     56.24    120000   2500000   5500000     60.00
       00:20:00    880560   5467600   4259200     53.24    120000   2500000   5500000     60.00
       00:30:00    866100   5443500   4452000     55.65    120000   2500000   5500000     60.00
       00:40:00    880320   5467200   4262400     53.28    120000   2500000   5500000     60.00
       00:50:00    870720   5451200   4390400     54.88    120000   2500000   5500000     60.00
       01:00:00    863820   5439700   4482400     56.03    120000   2500000   5500000     60.00
       01:10:00    864420   5440700   4474400     55.93    120000   2500000   5500000     60.00
       01:20:00    860760   5434600   4523200     56.54    120000   2500000   5500000     60.00
       01:30:00    874080   5456800   4345600     54.32    120000   2500000   5500000     60.00
       01:40:00    870420   5450700   4394400     54.93    120000   2500000   5500000     60.00
       01:50:00    859440   5432400   4540800     56.76    120000   2500000   5500000     60.00
       02:00:00    865080   5441800   4465600     55.82    120000   2500000   5500000     60.00
       02:10:00    861540   5435900   4512799     56.41    120000   2500000   5500000     60.00
       02:20:00    873120   5455200   4358400     54.48    120000   2500000   5500000     60.00
       02:30:00    881160   5468600   4251200     53.14    120000   2500000   5500000     60.00
       02:40:00    858000   5430000   4560000     57.00    120000   2500000   5500000     60.00
       02:50:00    865560   5442600   4459200     55.74    120000   2500000   5500000     60.00
       03:00:00    867360   5445600   4435200     55.44    120000   2500000   5500000     60.00
       03:10:00    861900   5436500   4508000     56.35    120000   2500000   5500000     60.00
       03:20:00    859920   5433200   4534400     56.68    120000   2500000   5500000     60.00
       03:30:00    860580   5434300   4525600     56.57    120000   2500000   5500000     60.00
       03:40:00    874380   5457300   4341600     54.27    120000   2500000   5500000     60.00
       03:50:00    875400   5459000   4328000     54.10    120000   2500000   5500000     60.00
       04:00:00    881220   5468700   4250400     53.13    120000   2500000   5500000     60.00
       04:10:00    881400   5469000   4248000     53.10    120000   2500000   5500000     60.00
       04:20:00    859020   5431700   4546400     56.83    120000   2500000   5500000     60.00
       04:30:00    873720   5456200   4350400     54.38    120000   2500000   5500000     60.00
       04:40:00    864660   5441100   4471200     55.89    120000   2500000   5500000     60.00
       04:50:00    870900   5451500   4388000     54.85    120000   2500000   5500000     60.00
       05:00:00    858540   5430900   4552799     56.91    120000   2500000   5500000     60.00
       05:10:00    863580   5439300   4485600     56.07    120000   2500000   5500000     60.00
       05:20:00    878460   5464100   4287200     53.59    120000   2500000   5500000     60.00
       05:30:00    869340   5448900   4408800     55.11    120000   2500000   5500000     60.00
       05:40:00    860400   5434000   4528000     56.60    120000   2500000   5500000     60.00
       05:50:00    881340   5468900   4248800     53.11    120000   2500000   5500000     60.00
       06:00:00    872040   5453400   4372800     54.66    120000   2500000   5500000     60.00
       06:10:00    874380   5457300   4341600     54.27    120000   2500000   5500000     60.00
       06:20:00    874260   5457100   4343199     54.29    120000   2500000   5500000     60.00
       06:30:00    871500   5452500   4380000     54.75    120000   2500000   5500000     60.00
       06:40:00    867300   5445500   4436000     55.45    120000   2500000   5500000     60.00
       06:50:00    858060   5430100   4559200     56.99    120000   2500000   5500000     60.00
       07:00:00    879000   5465000   4280000     53.50    120000   2500000   5500000     60.00
       07:10:00    863820   5439700   4482400     56.03    120000   2500000   5500000     60.00
       07:20:00    878460   5464100   4287200     53.59    120000   2500000   5500000     60.00
       07:30:00    863640   5439400   4484800     56.06    120000   2500000   5500000     60.00
       07:40:00    871080   5451800   4385600     54.82    120000   2500000   5500000     60.00
       07:50:00    861360   5435600   4515200     56.44    120000   2500000   5500000     60.00
       08:00:00    863340   5438900   4488800     56.11    120000   2500000   5500000     60.00
       08:10:00    880320   5467200   4262400     53.28    120000   2500000   5500000     60.00
       08:20:00    873900   5456500   4348000     54.35    120000   2500000   5500000     60.00
       08:30:00    881460   5469100   4247200     53.09    120000   2500000   5500000     60.00
       08:40:00    860280   5433800   4529599     56.62    120000   2500000   5500000     60.00
       08:50:00    863760   5439600   4483200     56.04    120000   2500000   5500000     60.00
       09:00:00    871920   5453200   4374400     54.68    120000   2500000   5500000     60.00
       09:10:00    881640   5469400   4244800     53.06    120000   2500000   5500000     60.00
       09:20:00    859320   5432200   4542400     56.78    120000   2500000   5500000     60.00
       09:30:00    870780   5451300   4389600     54.87    120000   2500000   5500000     60.00
       09:40:00    879000   5465000   4280000     53.50    120000   2500000   5500000     60.00
       09:50:00    859140   5431900   4544800     56.81    120000   2500000   5500000     60.00
       10:00:00    868440   5447400   4420800     55.26    120000   2500000   5500000     60.00
       10:10:00    880560   5467600   4259200     53.24    120000   2500000   5500000     60.00
       10:20:00    866880   5444800   4441600     55.52    120000   2500000   5500000     60.00
       10:30:00    867060   5445100   4439200     55.49    120000   2500000   5500000     60.00
       10:40:00    868860   5448100   4415200     55.19    120000   2500000   5500000     60.00
       10:50:00    870360   5450600   4395200     54.94    120000   2500000   5500000     60.00
       11:00:00    865320   5442200   4462400     55.78    120000   2500000   5500000     60.00
       11:10:00    859440   5432400   4540800     56.76    120000   2500000   5500000     60.00
       11:20:00    873300   5455500   4356000     54.45    120000   2500000   5500000     60.00
       11:30:00    868500   5447500   4420000     55.25    120000   2500000   5500000     60.00
       11:40:00    866400   5444000   4448000     55.60    120000   2500000   5500000     60.00
       11:50:00    866760   5444600   4443200     55.54    120000   2500000   5500000     60.00
       12:00:00    873900   5456500   4348000     54.35    120000   2500000   5500000     60.00
       12:10:00    865980   5443300   4453600     55.67    120000   2500000   5500000     60.00
       12:20:00    871860   5453100   4375199     54.69    120000   2500000   5500000     60.00
       12:30:00    858720   5431200   4550400     56.88    120000   2500000   5500000     60.00
       12:40:00    860160   5433600   4531200     56.64    120000   2500000   5500000     60.00
       12:50:00    875280   5458800   4329600     54.12    120000   2500000   5500000     60.00
       13:00:00    873780   5456300   4349600     54.37    120000   2500000   5500000     60.00
       13:10:00    869640   5449400   4404800     55.06    120000   2500000   5500000     60.00
       13:20:00    862440   5437400   4500800     56.26    120000   2458333   5500000     60.28
       13:30:00    854160   5423600   4611200     57.64    120000   2375000   5500000     60.83
       13:40:00    854640   5424400   4604800     57.56    120000   2291666   5500000     61.39
       13:50:00    844800   5408000   4736000     59.20    120000   2208333   5500000     61.94
       14:00:00    829680   5382800   4937600     61.72    120000   2125000   5500000     62.50
       14:10:00    811320   5352200   5182400     64.78    120000   2041666   5500000     63.06
